Склад,Штабель,Марка,Максимальная температура,Дата измерения,Возраст штабеля (дни),ignition_in_2d
3,43,A1,36.2,2020-08-05,,False
4,39,A1,109.4,2020-08-05,82.0,True
4,23,A1,38.6,2020-08-05,78.0,False
4,46,A1,37.3,2020-08-05,373.0,False
4,12,A1,36.4,2020-08-05,-16.0,False
6,45,A1,37.0,2020-08-05,,False
6,1,A1,45.6,2020-08-05,-35.0,True
6,10,A1,39.3,2020-08-05,,False
6,5,A1,36.5,2020-08-05,40.0,False
6,1,A1,190.0,2020-08-05,-35.0,True
6,4,A1,243.1,2020-08-05,102.0,True
3,43,A1,36.2,2020-08-05,,False
4,39,A1,109.4,2020-08-05,82.0,True
4,23,A1,38.6,2020-08-05,78.0,False
4,46,A1,37.3,2020-08-05,373.0,False
4,12,A1,36.4,2020-08-05,-16.0,False
6,45,A1,37.0,2020-08-05,,False
6,1,A1,45.6,2020-08-05,-35.0,True
6,10,A1,39.3,2020-08-05,,False
6,5,A1,36.5,2020-08-05,40.0,False
6,1,A1,190.0,2020-08-05,-35.0,True
6,4,A1,243.1,2020-08-05,102.0,True
3,7,A1-СКГ,19.2,2019-11-23,,False
3,36,A1-МТ-ШУБ,17.7,2019-11-23,,False
3,17,A1-КРУ,20.5,2019-11-23,,False
3,31,A1-СА-ШУБ,18.3,2019-11-23,,False
4,47,A1-СУЭК,16.1,2019-11-23,,False
4,46,A1,16.1,2019-11-23,117.0,True
4,9,A1-КТК,22.6,2019-11-23,73.0,False
4,19,A1-КТК,19.9,2019-11-23,,False
4,10,A1-СУЭК,16.7,2019-11-23,,False
3,7,A1-СКГ,17.3,2019-11-24,,False
3,36,A1-МТ-ШУБ,14.8,2019-11-24,,False
3,17,A1-КРУ,13.5,2019-11-24,,False
3,31,A1-СА-ШУБ,14.8,2019-11-24,,False
4,47,A1-СУЭК,19.4,2019-11-24,,False
4,46,A1,32.8,2019-11-24,118.0,True
4,9,A1-КТК,21.3,2019-11-24,74.0,False
4,19,A1-КТК,18.6,2019-11-24,,False
4,10,A1-СУЭК,17.1,2019-11-24,,False
3,7,A1-СКГ,16.2,2019-11-24,,False
3,36,A1-МТ-ШУБ,16.9,2019-11-24,,False
3,17,A1-КРУ,16.6,2019-11-24,,False
3,31,A1-СА-ШУБ,18.1,2019-11-24,,False
4,47,A1-СУЭК,19.2,2019-11-24,,False
4,46,A1,36.2,2019-11-24,118.0,True
4,9,A1-КТК,20.1,2019-11-24,74.0,False
4,19,A1-КТК,19.2,2019-11-24,,False
4,10,A1-СУЭК,18.6,2019-11-24,,False
3,7,A1-СКГ,14.1,2019-11-25,,False
3,36,A1-МТ-ШУБ,11.8,2019-11-25,,False
3,17,A1-КРУ,11.2,2019-11-25,,False
3,31,A1-СА-ШУБ,14.3,2019-11-25,,False
4,47,A1-СУЭК,23.1,2019-11-25,,False
4,46,A1,28.1,2019-11-25,119.0,False
4,9,A1-КТК,33.4,2019-11-25,75.0,False
4,19,A1-КТК,15.3,2019-11-25,,False
4,10,A1-СУЭК,18.4,2019-11-25,,False
3,7,A1-СКГ,18.8,2019-11-25,,False
3,36,A1-МТ-ШУБ,11.2,2019-11-25,,False
3,17,A1-КРУ,13.3,2019-11-25,,False
3,31,A1-СА-ШУБ,12.7,2019-11-25,,False
4,47,A1-СУЭК,17.8,2019-11-25,,False
4,46,A1,23.3,2019-11-25,119.0,False
4,9,A1-КТК,44.7,2019-11-25,75.0,False
4,19,A1-КТК,19.9,2019-11-25,,False
4,10,A1-СУЭК,16.7,2019-11-25,,False
3,7,A1-СКГ,16.2,2019-11-26,,False
3,36,A1-МТ-ШУБ,14.9,2019-11-26,,False
3,17,A1-КРУ,12.3,2019-11-26,,False
3,31,A1-СА-ШУБ,15.6,2019-11-26,,False
4,47,A1-СУЭК,13.1,2019-11-26,,False
4,46,A1,30.7,2019-11-26,120.0,False
4,9,A1-КТК,63.1,2019-11-26,76.0,False
4,19,A1-КТК,12.0,2019-11-26,,False
4,10,A1-СУЭК,10.3,2019-11-26,,False
3,7,A1-СКГ,13.7,2019-11-26,,False
3,17,A1-КРУ,13.3,2019-11-26,,False
3,31,A1-СА-ШУБ,13.9,2019-11-26,,False
3,36,A1-МТ-ШУБ,10.9,2019-11-26,,False
4,9,A1-КТК,22.0,2019-11-26,76.0,False
4,10,A1-СУЭК,5.9,2019-11-26,,False
4,19,A1-КТК,10.4,2019-11-26,,False
4,46,A1,18.8,2019-11-26,120.0,False
4,47,A1-СУЭК,12.5,2019-11-26,,False
3,7,A1-СКГ,11.5,2019-11-27,,False
3,17,A1-КРУ,10.1,2019-11-27,,False
3,31,A1-СА-ШУБ,10.3,2019-11-27,,False
3,36,A1-МТ-ШУБ,8.7,2019-11-27,,False
4,9,A1-КТК,13.6,2019-11-27,77.0,False
4,10,A1-СУЭК,15.7,2019-11-27,,False
4,19,A1-КТК,14.1,2019-11-27,,False
4,46,A1,16.2,2019-11-27,121.0,False
4,47,A1-СУЭК,9.2,2019-11-27,,False
3,7,A1-СКГ,14.5,2019-11-27,,False
3,17,A1-КРУ,14.8,2019-11-27,,False
3,31,A1-СА-ШУБ,16.6,2019-11-27,,False
3,36,A1-МТ-ШУБ,13.4,2019-11-27,,False
4,9,A1-КТК,17.6,2019-11-27,77.0,False
4,10,A1-СУЭК,12.0,2019-11-27,,False
4,19,A1-КТК,13.5,2019-11-27,,False
4,46,A1,14.8,2019-11-27,121.0,False
4,47,A1-СУЭК,12.3,2019-11-27,,False
3,7,A1-СКГ,15.8,2019-11-28,,False
3,17,A1-КРУ,15.9,2019-11-28,,False
3,29,A1-СА-ШУБ,18.6,2019-11-28,,False
3,31,A1-СА-ШУБ,17.3,2019-11-28,,False
3,36,A1-МТ-ШУБ,13.1,2019-11-28,,False
4,9,A1-КТК,17.5,2019-11-28,78.0,False
4,10,A1-СУЭК,12.7,2019-11-28,,False
4,19,A1-КТК,14.3,2019-11-28,,False
4,46,A1,14.2,2019-11-28,122.0,False
4,47,A1-СУЭК,12.8,2019-11-28,,False
3,7,A1-СКГ,17.6,2019-11-28,,False
3,17,A1-КРУ,18.7,2019-11-28,,False
3,29,A1-СА-ШУБ,18.6,2019-11-28,,False
3,31,A1-СА-ШУБ,17.7,2019-11-28,,False
3,36,A1-МТ-ШУБ,15.7,2019-11-28,,False
4,9,A1-КТК,19.8,2019-11-28,78.0,False
4,10,A1-СУЭК,16.0,2019-11-28,,False
4,19,A1-КТК,16.8,2019-11-28,,False
4,46,A1,16.0,2019-11-28,122.0,False
4,47,A1-СУЭК,17.3,2019-11-28,,False
3,7,A1-СКГ,16.4,2019-11-29,,False
3,17,A1-КРУ,17.4,2019-11-29,,False
3,29,A1-САШУБ,15.1,2019-11-29,,False
3,31,A1-САШУБ,13.7,2019-11-29,,False
3,36,A1-МТШУБ,14.1,2019-11-29,,False
4,9,A1-КТК,18.2,2019-11-29,79.0,False
4,10,FL-,17.1,2019-11-29,,False
4,16,A1-КТК,14.6,2019-11-29,256.0,False
4,19,A1-КТК,15.7,2019-11-29,,False
4,46,A1,14.5,2019-11-29,123.0,False
4,47,A1-СУЭК,16.1,2019-11-29,,False
3,7,A1-СКГ,19.9,2019-11-30,,False
3,36,A1-МТ-ШУБ,17.4,2019-11-30,,False
3,17,A1-КРУ,16.1,2019-11-30,,False
3,29,A1-СА-ШУБ,19.9,2019-11-30,,False
3,31,A1-СА-ШУБ,22.8,2019-11-30,,False
4,9,A1-КТК,20.1,2019-11-30,80.0,False
4,19,A1-КТК,18.0,2019-11-30,,False
4,16,A1-КТК,14.7,2019-11-30,257.0,False
4,10,A1-СУЭК,20.3,2019-11-30,,False
4,47,A1-СУЭК,21.5,2019-11-30,,False
4,46,A1,20.2,2019-11-30,124.0,False
3,7,A1-СКГ,15.6,2019-12-01,,False
3,36,A1-МТ-ШУБ,17.1,2019-12-01,,False
3,17,A1-КРУ,13.2,2019-12-01,,False
3,29,A1-СА-ШУБ,15.7,2019-12-01,,False
3,31,A1-СА-ШУБ,17.2,2019-12-01,,False
4,9,A1-КТК,16.6,2019-12-01,81.0,False
4,19,A1-КТК,20.4,2019-12-01,,False
4,16,A1-КТК,14.6,2019-12-01,258.0,False
4,10,A1-СУЭК,16.5,2019-12-01,,False
4,47,A1-СУЭК,16.9,2019-12-01,,False
4,46,A1,10.2,2019-12-01,125.0,False
3,7,A1-СКГ,25.2,2019-12-01,,False
3,36,A1-МТ-ШУБ,20.5,2019-12-01,,False
3,17,A1-КРУ,15.0,2019-12-01,,False
3,29,A1-СА-ШУБ,19.9,2019-12-01,,False
3,31,A1-СА-ШУБ,17.7,2019-12-01,,False
4,9,A1-КТК,18.8,2019-12-01,81.0,False
4,19,A1-КТК,18.4,2019-12-01,,False
4,16,A1-КТК,17.5,2019-12-01,258.0,False
4,10,A1-СУЭК,15.2,2019-12-01,,False
4,47,A1-СУЭК,18.0,2019-12-01,,False
4,46,A1,10.6,2019-12-01,125.0,False
3,7,A1-СКГ,12.4,2019-12-02,,False
3,36,A1-МТ-ШУБ,11.5,2019-12-02,,False
3,17,A1-КРУ,12.9,2019-12-02,,False
3,29,A1-СА-ШУБ,10.5,2019-12-02,,False
3,31,A1-СА-ШУБ,10.2,2019-12-02,,False
4,9,A1-КТК,16.2,2019-12-02,82.0,False
4,19,A1-КТК,16.5,2019-12-02,,False
4,16,A1-КТК,12.6,2019-12-02,259.0,False
4,10,A1-СУЭК,16.2,2019-12-02,,False
4,47,A1-СУЭК,9.0,2019-12-02,,False
4,46,A1,16.1,2019-12-02,126.0,False
3,30,A1-СКГ,11.8,2019-12-04,,False
3,17,A1-КРУ,15.3,2019-12-04,,False
3,29,A1-СА-ШУБ,14.1,2019-12-04,,False
3,31,A1-СА-ШУБ,11.4,2019-12-04,,False
3,36,A1-МТ-ШУБ,14.2,2019-12-04,,False
4,9,A1-КТК,15.9,2019-12-04,84.0,False
4,10,A1-СУЭК,12.0,2019-12-04,,False
4,16,A1-КТК,12.3,2019-12-04,261.0,False
4,19,A1-КТК,11.7,2019-12-04,,False
4,46,A1,14.9,2019-12-04,128.0,False
4,47,A1-СУЭК,13.7,2019-12-04,,False
3,30,A1-СКГ,17.2,2019-12-05,,False
3,17,A1-КРУ,14.0,2019-12-05,,False
3,29,A1-СА-ШУБ,14.7,2019-12-05,,False
3,31,A1-СА-ШУБ,15.3,2019-12-05,,False
3,36,A1-МТ-ШУБ,15.8,2019-12-05,,False
4,9,A1-КГК,16.3,2019-12-05,85.0,False
4,10,A1-СУЭК,14.3,2019-12-05,,False
4,16,A1-КГК,16.5,2019-12-05,262.0,False
4,19,A1-КГК,16.7,2019-12-05,,False
4,46,A1,12.2,2019-12-05,129.0,False
4,47,A1-СУЭК,16.2,2019-12-05,,False
3,30,A1-СКГ,12.4,2019-12-06,,False
3,17,A1-КРУ,14.5,2019-12-06,,False
3,29,A1-СА-ШУБ,14.6,2019-12-06,,False
3,31,A1-СА-ШУБ,13.6,2019-12-06,,False
3,36,A1-МТ-ШУБ,11.1,2019-12-06,,False
4,9,A1-КТК,17.7,2019-12-06,86.0,False
4,10,A1-СУЭК,18.7,2019-12-06,,False
4,16,A1-КТК,17.0,2019-12-06,263.0,False
4,19,A1-КТК,17.1,2019-12-06,,False
4,46,A1,13.9,2019-12-06,130.0,False
4,47,A1-СУЭК,18.7,2019-12-06,,False
3,30,A1-СКГ,20.8,2019-12-06,,False
3,17,A1-КРУ,14.7,2019-12-06,,False
3,29,A1-СА-ШУБ,12.8,2019-12-06,,False
3,31,A1-СА-ШУБ,18.8,2019-12-06,,False
3,36,A1-МТ-ШУБ,11.9,2019-12-06,,False
4,9,A1-КТК,16.9,2019-12-06,86.0,False
4,10,A1-СУЭК,12.2,2019-12-06,,False
4,16,A1-КТК,14.6,2019-12-06,263.0,False
4,19,A1-КТК,15.2,2019-12-06,,False
4,46,A1,12.8,2019-12-06,130.0,False
4,47,A1-СУЭК,11.7,2019-12-06,,False
3,30,A1-СКГ,13.1,2019-12-07,,False
3,17,A1-КРУ,10.3,2019-12-07,,False
3,29,A1-СА-ШУБ,15.2,2019-12-07,,False
3,31,A1-СА-ШУБ,25.3,2019-12-07,,False
3,36,A1-МТ-ШУБ,8.4,2019-12-07,,False
4,9,A1-КТК,16.8,2019-12-07,87.0,False
4,10,A1-СУЭК,12.9,2019-12-07,,False
4,16,A1-КТК,17.6,2019-12-07,264.0,False
